,FONTES,Família final,NOME PRINCIPAL,NOMES ALTERNATIVOS,SIGLAS,Tem formulário preenchido? (S/N),"Existe?
 (1/0/NE)","Existe no Brasil?
 (1/0/NE)",M/F?,"Possui Mantenedora?
 (S/N/ N/I / N/E)",Fontes,Fundadores M,Fundadores F,COM Hierarquia M,COM hierarquia F,SEM Hierarquia M,SEM Hierarquia F,Santo/M,Santo/F,Nomes dos/das Fundador(es/as),Fontes,"Datas de Aprovação (Constituições, Regras, Dir. Diocesano, Dir. Pontifício, Decretum Laudis)",Fontes,Anos de reformulação das Constituições,Fontes,Situação canônica*,Tipo de Vida*,Data de fundação,Fontes,País de Fundação,Estado de Fundação,Cidade de Fundação,Fontes,Chegada ao Brasil - Ano,Fontes,Chegada ao Brasil - Estado,Chegada ao Brasil - Município,Fontes,Nº de membros do grupo fundador - Religiosos,Nº de membros do grupo fundador - Leigos,Nº de membros do grupo fundador - Não Especificado,Fontes,Período de funcionamento - Casas no Brasil [fontes],Fontes,Período de funcionamento - Casas Fechadas,Fontes,Estados onde está presente,Nº de estados onde está presente,Fontes,Nº de casas no mundo,Fontes,Países onde está presente,Nº de países onde está presente,Fontes,"Membros no Brasil
 (Preferência para informações do AC2015)",Sacerdotes *,Irmãos/ãs *,Postulantes *,Noviços *,Fontes,"Dados Alternativos
(com fontes) *",Membros no mundo (total),Fontes,Organização Hierárquica/ Administrativa - Nomeação?,Organização Hierárquica/ Administrativa - Eleição?,Organização Hierárquica/ Administrativa - Ambos?,"Organização Hierárquica [NOMeação, ELeição, AMBos] *",Publicações de uso Interno,Fontes *,Publicações livres,Fontes *,Total de Publicações *,Obras sobre a Congregação,Total,Número de fontes Manuscritas,Carisma,Fontes,Missão/Fundação,Fontes,Missão/Hoje,Fontes,Motivos da vinda,Fontes,Trabalhos efetivamente assumidos,Fontes,Notas,SEDE NO BRASIL - CIDADE,SEDE NO BRASIL - ESTADO,"SEDE NO BRASIL - É CAPITAL? (0=NÃO, 1=SIM)",Taxa de Reprodução [POSTULANTES+NOVIÇOS/AS] / [SACERDOTES+IRMÃOS],Proporção de membros em formação em relação ao total de membros
82,N/E,N/E,Congregação Beneditina do Brasil - OSB  - Abadia da Imaculada Conceição da Bem-aventurada Virgem Maria,N/A,N/A,S,1,1,F,S,F,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,N/E,N/E,"1936 {AR}
1987 {AC}",F,1997,F,DP,VC/VM,1911,F,Brasil,SP,São Paulo,F,BR,N/A,BR,BR,BR,7,0,0,F,N/I,N/I,N/E,N/I,N/E,N/E,N/E,N/I,F,N/E,N/E,N/E,482,N/E,N/E,N/E,N/E,F,N/E,N/E,N/E,0,0,1,AMB,0,F,1,F,1,N/I,N/I,N/I [F],O Louvor Divino na Celebração da Liturgia das Horas da Igreja. Vida em Comunidade sob uma Regra e uma Abadessa. [?],?,n/e,N/E,n/e,N/E,CONGREGAÇÃO BRASILEIRA,N/A,N/E,N/E,,N/E,N/E,0,N/E,N/E
123,N/E,N/E,Carmelitas Missionárias Terceiras Descalças,N/A,N/A,N,N/E,N/E,F,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,1860,?,Espanha,Catalunha,Terragona,?,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/I,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,N/E,N/E,0,N/E,N/E
126,http://www.cricbrasil.org/files/cronistoria.pdf [1],N/E,Cônegas Regulares das Cinco Chagas,N/A,N/A,N,N/E,N/E,F,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,VM,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/I,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,N/E,N/E,0,N/E,N/E
132,N/E,N/E,Irmãs Missionárias do Coração Imaculado de Maria,N/A,N/A,N,N/E,N/E,F,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,VM,1955,?,Itália,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/I,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,N/E,N/E,0,N/E,N/E
156,"http://www.graymoor.org/ [1]

http://www.teses.usp.br/teses/disponiveis/8/8138/tde-24072005-133321/pt-br.php [2]

http://www.graymoor.org/our-spiritual-life/ [3]

http://www.graymoor.org/history-2/ [4]

http://www.graymoor.org/brazil/ [5]",Franciscana,Irmãs Franciscanas do Atonement,Irmãs Franciscanas da Reconciliação,N/A,N,1,0,F,N/E,N/E,1.00,1.00,N/E,N/E,1.00,1.00,N/E,N/E,"Pe. Louis T. Wattson, Ir. Lurana White",4,1935 {DP},1,N/E,N/E,DP,VM,1909,4,EUA,Nova Iorque,Graymoor,4,1963,2,GO,Jataí,2,4,0,0,2,N/E,N/E,N/E,N/I,N/A,N/E,N/E,N/E,N/E,"Canadá, EUA, Filipinas, Itália, Japão",5,4,1,N/E,N/E,N/E,N/E,1,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,1 [2],1,N/A,"""Essencial para nossa vida consagrada é nosso relacionamento com Deus no amor. Este relacionamento é alimentado pelo movimento do Espírito Santo orando dentro de nós e é expressado em nossas orações dedicadas ao Pai em união com Cristo. Nossas orações se centram em nossa participação na Eucaristia, onde nós louvamos e agradecemos à Deus e onde nós lembramos e partilhamos da oferta de si de Cristo a seu Pai""."" [T] [3]",3,"""Em sua carta, Srta. {Lurana} White descreveu sua busca frustrante por uma comunidade religiosa cujos membros professassem publicamente o voto de pobreza e vivessem de acordo com a tradição Franciscana {dentro da igreja Episcopal}. (...) Muitos dos projetos que já haviam começado na Igreja Episcopal continuaral sob o auspício Católico Romano. (...) uma revista devotada à missão e união cristã (...) a União-Que-Nada-Seja-Perdido, uma organização de ajuda a missionários (...) O Albergue São Cristóvão (...) continuou  a receber milhares de desabrigados."" [T] [4]",4,"""Hoje, as Irmãs Franciscanas da Reconciliação estão engajadas em diversos ministérios em nome da união e missão Cristã ao redor do mundo. Fiéis à visão missionária e ecumênica de sua fundadora, Madre Lurana, que quis que suas Irmãs 'tivessem muitas fundações, pequenas e pobres, mas ricas em caridade para com Deus, para com umas as outras e para com as almas dos homens', as Irmãs Franciscanas da Reconciliação estão hoje espalhadas pelos EUA, pelo Canadá, itália, Japão, Filipinas e Brasil.
Estamos envolvidas com a educação religiosa, assistência social, desenvolvimento comunitário, pastorais, ministérios em hospitais e prisões, visitas domésticas, cuidado de idosos e crianças, trabalhos para a justiça e paz, e administração de retiros e pousadas"" [T] [4]",4,"""No começo dos anos 1960, o Papa João XXIII pediu às congregações religiosas que enviassem ao menos 1/10 de seus membros para a América Latina em vista das necessidades tremendas deste continente"" [T] [5]",5,"""As Irmãs envolveram-se na educação religiosa e ministério pastoral em várias paróquias da Diocese de Jataí. Temos duas Irmãs que continuam este ministério hoje"". [T] [5]",5,,N/E,N/E,0,N/E,N/E
196,"http://www.diocesedecrateus.net.br/religiosas/ [1]

http://www.hospitalsantoantonio.org.br/index.php?option=com_content&view=article&id=51&Itemid=57 [2]

https://muvic.files.wordpress.com/2009/08/008940-na-mata-do-sabia-miolo-2ed.pdf [3]

http://daughtersofmaryandjoseph.org/en/belgium/ [4]

http://daughtersofmaryandjoseph.org/en/ [5]",N/E,Filhas de Maria e José,N/A,N/A,N,1,N/E,F,N/E,N/E,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,"Pe. Constant Guilliaume Van Crombrugghe, Me. Colette De Brandt",4,N/E,N/E,N/E,N/E,N/E,VM,1817,4,Bélgica,Flandres Oriental,Aaalst,5,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/I,N/E,N/A,N/A,N/E,N/E,"Bélgica, Brasil, Burundi, EUA, Gana, Inglaterra, Irlanda, Quênia, Uganda",9,5,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,"""'Ser instrumentos da misericórdia nas mãos de Deus' e ter 'ilimitada devoção à Jesus Cristo, à Sua Igreja e a todos os seres vivos.'"" [T] [4]",4,"""Espantado com a fome e miséria que assolavam Flandres, ele {Pe. Constant Gilliaume Van Crombrugghe} começou a trabalhar com Colette De Brant, de Aalst. Juntos, em 1817, eles fundaram escolas vocacionais para os pobres. Além de aprender a confeccionar rendas, as jovens recebiam uma educação cristã básica."" [T] [4]",4,"""Somos uma comunidade internacional de religiosas, chamadas à tornar visível o amor misericordioso de Deus. Vivendo no mundo de hoje com todas suas possibilidades e injustiças, respondemos, em particular, a duas realidades urgentes: uma sede espiritual e a aqueles para os quais a sociedade disse não haver lugar, sempre conscientes que é Deus que nos chama e que estende sua misericórdia por meio de nós."" [5]",5,N/E,N/E,N/E,N/E,,N/E,N/E,0,N/E,N/E
202,"http://missionnaires-mnda.com/ [1]

https://books.google.com.br/books?id=9HaTDAAAQBAJ&pg=PA66&lpg=PA66&dq=soeurs+missionnaires+de+notre-dame+des+anges+approbation [2]

https://unites.uqam.ca/bresil/images/Myriam%20Alarie%202%20cycle.pdf [3]

http://missionnaires-mnda.com/fondation/ [4]

http://missionnaires-mnda.com/ou-sommes-nous/ [5]

http://missionnaires-mnda.com/mnda-au-bresil/ [6]

http://missionnaires-mnda.com/qui-sommes-nous-3/ [7]

http://missionnaires-mnda.com/fondation/ [8]",Franciscana,Congregação das Irmãs MISSIONÁRIAS DE NOSSA SENHORA DOS ANJOS,N/A,[MNDA],N,1,S,F,N/E,N/E,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,"Ir. Florina Gervais, Ir. Chan Tsi Kwan",8,1967 {DP},2,N/E,N/E,DP,VM,1919,1,Canadá,Quebéc,Lennoxville,1,1961,3,MA,Bequimão,3,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/I,MA,1,6,N/E,N/E,"Brasil, Canadá, Filipinas, Hong Kong, Japão, Macau, Peru, Rep. Dem. do Congo, Ruanda, Tanzânia",10,5,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,1 [3],1,N/A,"""Somos: Missionárias, Internacionais, Marianas, Franciscanas.
Uma congregação missionária, nascida no Quebéc, Canadá, em 1922, presente hoje em 11 países, onde perseguimos nossa obra de evangelização e construção de uma Igreja Local."" [T] [7]",7,"""Nossas duas Irmãs, Florina Gervais e Chan Tsi Kwan se entregaram com confiança à decisão do venerável Bispo de Sherbrooke, sempre benévolo e paternal em relação à suas duas jovens missionárias e muito compreensivo quanto à seu ideal apostólico. Após alguns contatos com o delegado apostólico no Canadá, a fundação do novo instituto foi decidida. E foi assim que em 1919, sob o olhar do B. Larocque, nascia em Lennoxville o primeiro núcleo da Congregação das Irmãs Missionárias de São Paulo do Oriente, cujo nome foi mudado em seguida para 'Irmãs Missionárias de N.S. dos Anjos"" [T] [4]",4,"""Reunidas em comunidades fraternais, sob a proteção de N.S. dos Anjos e vivendo a espiritualidade franciscana, desejamos levar à Boa Nova de Jesus Cristo, aos povos e aos grupos humanos nos quais o Reino de Deus é desconhecido ou pouco enraizado."" [T] [5]",5,N/E,N/E,"Pastoral Paroquial, Familiar, cuidado de deficientes, presos. [6]",6,,N/I,N/I,0,N/E,N/E
240,N/E,N/E,Irmãs de Santa Isabel,N/A,N/A,N,N/E,N/E,F,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,VM,1927,?,Brasil,RJ,Guanabara,?,BR,N/A,BR,BR,BR,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/I,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,N/E,N/E,0,N/E,N/E
243,"http://osboliv.or.kr/eng/company/company_05.php [1]

http://www.vicariatusurbis.org/?page_id=188&ID=7553 [2]

http://www.diocesedeconceicao.com.br/paroquias/redencao/ [3]",N/E,Congregação de Santa Maria do Monte Olivetto,N/A,N/A,N,1,N/E,F,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,VM,1926,?,Bélgica,Antuérpia,Schoten,?,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/I,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,N/E,N/E,0,N/E,N/E
282,N/E,N/E,Instituto das Missionárias Filhas de Nossa Senhora,N/A,N/A,N,N/E,N/E,F,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,VM,1963,?,Brasil,RJ,Guanabara,?,N/E,N/E,BR,BR,BR,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/I,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,N/E,N/E,0,N/E,N/E
